# Xcode 27.0 Info.plist structure definitions: D class kind array-element; K parent key label class
D	_root_	Dictionary	
K	_root_	LSPrefersCarbon	Application prefers Carbon environment	Boolean
K	_root_	LSPrefersClassic	Application prefers Classic environment	Boolean
K	_root_	LSRequiresCarbon	Application requires Carbon environment	Boolean
K	_root_	LSRequiresClassic	Application requires Classic environment	Boolean
K	_root_	LSVisibleInClassic	Application is visible in Classic	Boolean
K	_root_	LSRequiresNativeExecution	Application requires native environment	Boolean
K	_root_	LSEnvironment	Environment variables	Dictionary
K	_root_	LSFileQuarantineEnabled	File quarantine enabled	Boolean
K	_root_	LSGetAppDiedEvents	Application should get App Died events	Boolean
K	_root_	NSAppleScriptEnabled	Scriptable	Boolean
K	_root_	OSAScriptingDefinition	Scripting definition file name	String
K	_root_	ATSApplicationFontsPath	Application fonts resource path	String
K	_root_	CSResourcesFileMapped	Resources should be file-mapped	Boolean
K	_root_	NSServices	Services	ServicesArray
K	_root_	NSSupportsSuddenTermination	Application can be killed immediately when user is shutting down or logging out	Boolean
K	_root_	NSSupportsAutomaticTermination	Application can be killed to reclaim memory or other extraordinary circumstances	Boolean
K	_root_	APInstallerURL	Installation directory base file URL	String
K	_root_	APFiles	Installation files	APFilesDict
K	_root_	NSMainNibFile	Main nib file base name	String
K	_root_	NSMainNibFile~ipad	Main nib file base name (iPad)	String
K	_root_	NSMainNibFile~iphone	Main nib file base name (iPhone)	String
K	_root_	NSPrincipalClass	Principal class	String
K	_root_	NSViewGestureRecognizerIsExclusive	View gesture recognizer is exclusive	Boolean
K	_root_	NSApplicationServices	Application Services	NSApplicationServicesDictionary
K	_root_	NSPrefPaneIconFile	Preference Pane icon file	String
K	_root_	NSPrefPaneIconLabel	Preference Pane icon label	String
K	_root_	NSDockTilePlugIn	Dock Tile plugin path	String
K	_root_	com.apple.PreferenceSync.ExcludeSyncKeys	Preferences sync exclusion keys	StringArray
K	_root_	CFAppleHelpAnchor	Help file	String
K	_root_	CFBundleHelpBookFolder	Help Book directory name	String
K	_root_	CFBundleHelpBookName	Help Book identifier	String
K	_root_	CFPlugInDynamicRegistration	Plug-in should be registered dynamically	Boolean
K	_root_	CFPlugInDynamicRegisterFunction	Plug-in dynamic registration function name	String
K	_root_	CFPlugInFactories	Plug-in factory interfaces	Dictionary
K	_root_	CFPlugInTypes	Plug-in types	Dictionary
K	_root_	CFPlugInUnloadFunction	Plug-in unload function name	String
K	_root_	NSJavaNeeded	Cocoa Java application	Boolean
K	_root_	NSJavaPath	Java classpaths	StringArray
K	_root_	NSJavaRoot	Java root directory	String
K	_root_	QLThumbnailMinimumSize	Quick Look thumbnail minimum size	QLThumbnailMinimumSizeDef
K	_root_	QLPreviewHeight	Quick Look preview height	QLPreviewHeightDef
K	_root_	QLPreviewWidth	Quick Look preview width	QLPreviewWidthDef
K	_root_	QLSupportsConcurrentRequests	Quick Look supports concurrent requests	QLSupportsConcurrentRequestsDef
K	_root_	QLNeedsToBeRunInMainThread	Quick Look needs to be run in main thread	QLNeedsToBeRunInMainThreadDef
K	_root_	SMPrivilegedExecutables	Tools owned after installation	Dictionary
K	_root_	SMAuthorizedClients	Clients allowed to add and remove tool	StringArray
K	_root_	NSAccessoryTrackingUsageDescription	Privacy - Accessory Tracking Usage Description	String
K	_root_	NSContactsUsageDescription	Privacy - Contacts Usage Description	String
K	_root_	NSDesktopFolderUsageDescription	Privacy - Desktop Folder Usage Description	String
K	_root_	NSDocumentsFolderUsageDescription	Privacy - Documents Folder Usage Description	String
K	_root_	NSDownloadsFolderUsageDescription	Privacy - Downloads Folder Usage Description	String
K	_root_	NSCalendarsUsageDescription	Privacy - Calendars Usage Description	String
K	_root_	NSCalendarsFullAccessUsageDescription	Privacy - Calendars Full Access Usage Description	String
K	_root_	NSCalendarsWriteOnlyAccessUsageDescription	Privacy - Calendars Write Only Usage Description	String
K	_root_	NSRemindersFullAccessUsageDescription	Privacy - Reminders Full Access Usage Description	String
K	_root_	NSRemindersUsageDescription	Privacy - Reminders Usage Description	String
K	_root_	NSRemovableVolumesUsageDescription	Privacy - Removable Volumes Usage Description	String
K	_root_	NSPhotoLibraryUsageDescription	Privacy - Photo Library Usage Description	String
K	_root_	NSPhotoLibraryAddUsageDescription	Privacy - Photo Library Additions Usage Description	String
K	_root_	NSLocationUsageDescription	Privacy - Location Usage Description	String
K	_root_	NSLocationAlwaysAndWhenInUseUsageDescription	Privacy - Location Always and When In Use Usage Description	String
K	_root_	NSMicrophoneUsageDescription	Privacy - Microphone Usage Description	String
K	_root_	NSAppleMusicUsageDescription	Privacy - Music Usage Description	String
K	_root_	NSMicrophoneInjectionUsageDescription	Privacy - Microphone Injection Usage Description	String
K	_root_	NSBluetoothPeripheralUsageDescription	Privacy - Bluetooth Peripheral Usage Description	String
K	_root_	NSBluetoothAlwaysUsageDescription	Privacy - Bluetooth Always Usage Description	String
K	_root_	NSCameraUsageDescription	Privacy - Camera Usage Description	String
K	_root_	NSMotionUsageDescription	Privacy - Motion Usage Description	String
K	_root_	NSNetworkVolumesUsageDescription	Privacy - Network Volumes Usage Description	String
K	_root_	NSHealthUpdateUsageDescription	Privacy - Health Update Usage Description	String
K	_root_	NSHealthShareUsageDescription	Privacy - Health Share Usage Description	String
K	_root_	NSHealthClinicalHealthRecordsShareUsageDescription	Privacy - Health Records Usage Description	String
K	_root_	NSAppleMusicUsageDescription	Privacy - Media Library Usage Description	String
K	_root_	NSHomeKitUsageDescription	Privacy - HomeKit Usage Description	String
K	_root_	NSLocationWhenInUseUsageDescription	Privacy - Location When In Use Usage Description	String
K	_root_	NSLocationAlwaysUsageDescription	Privacy - Location Always Usage Description	String
K	_root_	NSVideoSubscriberAccountUsageDescription	Privacy - TV Provider Usage Description	String
K	_root_	NSVideoSubscriberAccountUsageDescription	Privacy - Video Subscriber Account Usage Description	String
K	_root_	NSSiriUsageDescription	Privacy - Siri Usage Description	String
K	_root_	NSSpeechRecognitionUsageDescription	Privacy - Speech Recognition Usage Description	String
K	_root_	NFCReaderUsageDescription	Privacy - NFC Scan Usage Description	String
K	_root_	NSFaceIDUsageDescription	Privacy - Face ID Usage Description	String
K	_root_	NSFileProviderDomainUsageDescription	Privacy - Access to a File Provide Domain Usage Description	String
K	_root_	NSFileProviderPresenceUsageDescription	Privacy - File Provider Presence Usage Description	String
K	_root_	NSAppleEventsUsageDescription	Privacy - AppleEvents Sending Usage Description	String
K	_root_	NSSystemAdministrationUsageDescription	Privacy - System Administration Usage Description	String
K	_root_	NSSystemExtensionUsageDescription	Privacy - System Extension Usage Description	String
K	_root_	OSBundleUsageDescription	Privacy - Driver Extension Usage Description	String
K	_root_	NSLocalNetworkUsageDescription	Privacy - Local Network Usage Description	String
K	_root_	NSUserTrackingUsageDescription	Privacy - Tracking Usage Description	String
K	_root_	NSLocationDefaultAccuracyReduced	Privacy - Location Default Accuracy Reduced	Boolean
K	_root_	NSLocationTemporaryUsageDescriptionDictionary	Privacy - Location Temporary Usage Description Dictionary	Dictionary
K	_root_	NSFocusStatusUsageDescription	Privacy - Focus Status Usage Description	String
K	_root_	NSNearbyInteractionUsageDescription	Privacy - Nearby Interaction Usage Description	String
K	_root_	NSUserNotificationsUsageDescription	Privacy - User Notifications Usage Description	String
K	_root_	NSIdentityUsageDescription	Privacy - Identity Usage Description	String
K	_root_	NSIdentityUsageDescriptionDictionary	Privacy - Identity Usage Description Dictionary	Dictionary
K	_root_	NSAppDataUsageDescription	Privacy - Other Application Data Usage Description	String
K	_root_	NSAppBundlesUsageDescription	Privacy - App Management Usage Description	String
K	_root_	NSFinancialDataUsageDescription	Privacy - Financial Data Usage Description	String
K	_root_	NSCriticalMessagingUsageDescription	Privacy - Critical Messaging Usage Description	String
K	_root_	NSWorldSensingUsageDescription	Privacy - World Sensing Usage Description	String
K	_root_	NSHandsTrackingUsageDescription	Privacy - Hands Tracking Usage Description	String
K	_root_	NSAlarmKitUsageDescription	Privacy - Alarm Kit Usage Description	String
K	_root_	UIWantsDetailedSurfaceInfo	Application Wants Detailed Surface Info	Boolean
K	_root_	NSPhotoLibraryLimitedAccessAPISupport	Application supports limited photo library access	Boolean
K	_root_	PHPhotoLibraryPreventAutomaticLimitedAccessAlert	Prevent limited photos access alert	Boolean
K	_root_	NSHighResolutionCapable	High Resolution Capable	Boolean
K	_root_	MKDirectionsApplicationSupportedModes	Maps routing app supported modes	MKDirectionsApplicationSupportedModesList
K	_root_	UIStatusBarTintParameters	Status bar tinting parameters	UIStatusBarTintingDictionary
K	_root_	NSExtensionFileProviderDocumentGroup	App group used for document storage	String
K	_root_	NSExtensionFileProviderSupportsEnumeration	File Provider supports Enumeration	Boolean
K	_root_	NSExtensionFileProviderOnlyVisibleInParentApplication	File provider is only visible in parent application	Boolean
K	_root_	PHProjectExtensionCustomTypesEnabled	Extension defines custom project types	Boolean
K	_root_	CFBundleSpokenName	Accessibility Bundle Name	String
K	_root_	UISupportsFullScreenInAssistiveAccess	Supports full screen in Assistive Access	Boolean
K	_root_	MusicHapticsSupported	Supports Music Haptics	Boolean
K	_root_	UISupportsAssistiveAccess	Supports Assistive Access	Boolean
K	_root_	NSAppTransportSecurity	App Transport Security Settings	NSAppTransportSecurityDictionary
K	_root_	AVGameBypassSystemSpatialAudio	Game Bypasses System Spatial Audio	Boolean
K	_root_	NSSupportsAutomaticGraphicsSwitching	Supports Automatic Graphics Switching	Boolean
K	_root_	UIApplicationShortcutWidget	Home Screen Widget	String
K	_root_	GCSupportsControllerUserInteraction	Supports Controller User Interaction	Boolean
K	_root_	GCSupportsGameMode	Supports Game Mode (deprecated)	Boolean
K	_root_	LSSupportsGameMode	Supports Game Mode	Boolean
K	_root_	GCDisableInferringGameMetadata	Opt out of inferring game knowledge in Games App	Boolean
K	_root_	UIWhitePointAdaptivityStyle	White Point Adaptivity Style	UIWhitePointAdaptivityStyleType
K	_root_	BGTaskSchedulerPermittedIdentifiers	Permitted background task scheduler identifiers	Array
K	_root_	TICapsLockLanguageSwitchCapable	Caps Lock Language Switch Capable	Boolean
K	_root_	NSWidgetWantsLocation	Widget Wants Location	Boolean
